refresh_id,started_at,completed_at,scopus_query_date,n_funder_candidates,n_affiliation_candidates,n_new_candidates,n_reviewed,n_kept,n_dropped,n_unsure,n_accepted,notes
2026-06-08,2026-06-08 11:09:49,NA,2026-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-09,2026-06-09 10:59:19,NA,2026-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-15,2026-06-15 16:59:47,NA,2026-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-16,2026-06-16 09:19:56,NA,2026-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-17,2026-06-17 12:14:31,2026-06-17 13:56:40,2026-06-17,1036,501,0,0,0,0,0,1228,NA
2026-08-25,2026-08-25 15:08:12,2026-08-26 09:57:11,2026-08-25,1060,508,1,24,16,5,3,1252,NA
